2025-02-21 13:18:57.007 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-21 13:18:58.863 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@63cc4ab8
2025-02-21 13:18:58.865 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-02-21 13:18:58.939 [restartedMain] INFO  org.flywaydb.core.internal.license.VersionPrinter - Flyway Community Edition 9.22.3 by Redgate
2025-02-21 13:18:58.939 [restartedMain] INFO  org.flywaydb.core.internal.license.VersionPrinter - See release notes here: https://rd.gt/416ObMi
2025-02-21 13:18:58.939 [restartedMain] INFO  org.flywaydb.core.internal.license.VersionPrinter - 
2025-02-21 13:18:58.956 [restartedMain] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3306/todolist (MySQL 8.0)
2025-02-21 13:18:58.998 [restartedMain] INFO  org.flywaydb.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.025s)
2025-02-21 13:18:59.010 [restartedMain] INFO  org.flywaydb.core.internal.command.DbMigrate - Current version of schema `todolist`: 1
2025-02-21 13:18:59.012 [restartedMain] INFO  org.flywaydb.core.internal.command.DbMigrate - Schema `todolist` is up to date. No migration necessary.
2025-02-21 13:18:59.140 [restartedMain] DEBUG com.jaehua.todolist.security.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2025-02-21 13:18:59.566 [restartedMain] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 6bc89554-2579-469b-878b-c275a479ceae

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-02-21 13:18:59.769 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1d212697, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@16f882ed, org.springframework.security.web.context.SecurityContextHolderFilter@4dd2ee20, org.springframework.security.web.header.HeaderWriterFilter@4b2be8bb, org.springframework.web.filter.CorsFilter@7b0c9d5c, org.springframework.security.web.authentication.logout.LogoutFilter@7f466d1a, com.jaehua.todolist.security.JwtAuthFilter@64601be7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ad777ca, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@711bbd90, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@188344b0, org.springframework.security.web.session.SessionManagementFilter@58f7ab0c, org.springframework.security.web.access.ExceptionTranslationFilter@29fdf286, org.springframework.security.web.access.intercept.AuthorizationFilter@1b3ed4ea]
2025-02-21 13:19:00.214 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-02-21 13:19:00.232 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-02-21 13:19:00.253 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-02-21 13:19:00.266 [restartedMain] INFO  com.jaehua.todolist.TodolistApplication - Started TodolistApplication in 3.721 seconds (process running for 4.716)
2025-02-21 13:19:19.127 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-02-21 13:19:19.129 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-02-21 13:19:19.129 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-02-21 13:19:19.294 [http-nio-8080-exec-1] INFO  com.jaehua.todolist.aspect.LogAspect - Request start - {"method":"getTask","ip":"0:0:0:0:0:0:0:1","httpMethod":"GET","params":{"id":7},"class":"TaskController","userId":7,"url":"http://localhost:8080/api/v1/tasks/get"}
2025-02-21 13:19:19.629 [http-nio-8080-exec-1] INFO  com.jaehua.todolist.aspect.LogAspect - Request end - {"duration":341,"result":{"code":200,"message":"Success","data":{"id":7,"userId":7,"title":"jaelele3","description":"string","status":0,"createdAt":[2025,2,21,13,4,59],"updatedAt":[2025,2,21,13,4,59]}},"method":"getTask","ip":"0:0:0:0:0:0:0:1","httpMethod":"GET","params":{"id":7},"class":"TaskController","userId":7,"url":"http://localhost:8080/api/v1/tasks/get","status":"success"}
2025-02-21 13:20:46.664 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-21 13:20:46.669 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
